# Rime user dictionary
#@/db_name	zzdyx_mod
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	767
#@/user_id	51f52ce6-8ac7-40dc-9ee8-cd3eec19048d
yc 	样	c=1 d=1 t=358
ydkn 	游客	c=1 d=1 t=16
yev 	荫	c=1 d=1 t=647
yfs 	焉	c=1 d=1 t=72
yg 	运	c=1 d=1 t=38
ygi 	于	c=1 d=1 t=573
ygl 	云	c=1 d=1 t=413
ygw 	元	c=1 d=1 t=410
yhgl 	应该	c=1 d=1 t=9
yl 	又	c=1 d=1 t=334
ymi 	羊	c=1 d=1 t=313
yo 	因	c=1 d=1 t=756
yob 	眼	c=1 d=1 t=350
yowm 	因为	c=1 d=1 t=524
ysi 	娱	c=1 d=1 t=585
ysst 	医生	c=1 d=1 t=192
ysyv 	医院	c=1 d=1 t=176
yv 	也	c=8 d=5.28568 t=669
yvf 	腰	c=1 d=1 t=55
yw 	用	c=1 d=1 t=658
